YEAR,Location,Death Rate,"Deaths ",URL
2023,UT,14.8,489,/nchs/state-stats/states/ut.html
2023,VT,12,83,/nchs/state-stats/states/vt.html
2023,VA,13.8,1237,/nchs/state-stats/states/va.html
2023,WA,13,1053,/nchs/state-stats/states/wa.html
2023,WV,16.8,315,/nchs/state-stats/states/wv.html
2023,WI,12.7,762,/nchs/state-stats/states/wi.html
2023,WY,21.5,130,/nchs/state-stats/states/wy.html
2022,AL,25.5,1278,/nchs/state-stats/states/al.html
2022,AK,22.4,164,/nchs/state-stats/states/ak.html
2022,AZ,20.1,1535,/nchs/state-stats/states/az.html
2022,AR,21.9,666,/nchs/state-stats/states/ar.html
2022,CA,8.6,3484,/nchs/state-stats/states/ca.html
2022,CO,17.1,1036,/nchs/state-stats/states/co.html
2022,CT,6.9,252,/nchs/state-stats/states/ct.html
2022,DE,11.9,124,/nchs/state-stats/states/de.html
2022,District of Columbia,21.4,154,/nchs/state-stats/states/dc.html
2022,FL,14,3232,/nchs/state-stats/states/fl.html
2022,GA,19.7,2163,/nchs/state-stats/states/ga.html
2022,HI,4.5,66,/nchs/state-stats/states/hi.html
2022,ID,17,338,/nchs/state-stats/states/id.html
2022,IL,14.4,1798,/nchs/state-stats/states/il.html
2022,IN,17.4,1211,/nchs/state-stats/states/in.html
2022,IA,11.2,367,/nchs/state-stats/states/ia.html
2022,KS,16.8,492,/nchs/state-stats/states/ks.html
2022,KY,18.8,840,/nchs/state-stats/states/ky.html
2022,LA,28.2,1266,/nchs/state-stats/states/la.html
2022,ME,11.7,179,/nchs/state-stats/states/me.html
2022,MD,13.6,813,/nchs/state-stats/states/md.html
2022,MA,3.7,263,/nchs/state-stats/states/ma.html
2022,MI,15,1504,/nchs/state-stats/states/mi.html
2022,MN,9.6,561,/nchs/state-stats/states/mn.html
2022,MS,29.6,848,/nchs/state-stats/states/ms.html
2022,MO,24.2,1489,/nchs/state-stats/states/mo.html
2022,MT,23.9,274,/nchs/state-stats/states/mt.html
2022,NE,12.2,244,/nchs/state-stats/states/ne.html
2022,NV,18.9,618,/nchs/state-stats/states/nv.html
2022,NH,10.1,156,/nchs/state-stats/states/nh.html
2022,NJ,5,468,/nchs/state-stats/states/nj.html
2022,NM,27.3,571,/nchs/state-stats/states/nm.html
2022,NY,5.3,1044,/nchs/state-stats/states/ny.html
2022,NC,16.8,1831,/nchs/state-stats/states/nc.html
2022,ND,16.4,125,/nchs/state-stats/states/nd.html
2022,OH,15.6,1831,/nchs/state-stats/states/oh.html
2022,OK,19.8,797,/nchs/state-stats/states/ok.html
2022,OR,14.4,655,/nchs/state-stats/states/or.html
2022,PA,14.7,1941,/nchs/state-stats/states/pa.html
2022,RI,3.1,37,/nchs/state-stats/states/ri.html
2022,SC,20.8,1105,/nchs/state-stats/states/sc.html
2022,SD,15.7,141,/nchs/state-stats/states/sd.html
2022,TN,20.5,1480,/nchs/state-stats/states/tn.html
2022,TX,15.3,4630,/nchs/state-stats/states/tx.html
2022,UT,13.7,446,/nchs/state-stats/states/ut.html
2022,VT,12,84,/nchs/state-stats/states/vt.html
2022,VA,14.9,1316,/nchs/state-stats/states/va.html
2022,WA,12.4,1022,/nchs/state-stats/states/wa.html
2022,WV,16.2,311,/nchs/state-stats/states/wv.html
2022,WI,14,830,/nchs/state-stats/states/wi.html
2022,WY,20.4,124,/nchs/state-stats/states/wy.html
2021,AL,26.4,1315,/nchs/state-stats/states/al.html
2021,AK,25.2,182,/nchs/state-stats/states/ak.html
2021,AZ,18.3,1365,/nchs/state-stats/states/az.html
2021,AR,23.3,698,/nchs/state-stats/states/ar.html
2021,CA,9,3576,/nchs/state-stats/states/ca.html
2021,CO,17.8,1064,/nchs/state-stats/states/co.html
2021,CT,6.7,248,/nchs/state-stats/states/ct.html
2021,DE,16.6,158,/nchs/state-stats/states/de.html
2021,District of Columbia,24.4,185,/nchs/state-stats/states/dc.html
2021,FL,14.1,3142,/nchs/state-stats/states/fl.html
2021,GA,20.3,2200,/nchs/state-stats/states/ga.html
2021,HI,4.8,71,/nchs/state-stats/states/hi.html
2021,ID,16.3,309,/nchs/state-stats/states/id.html
2021,IL,16.1,1995,/nchs/state-stats/states/il.html
2021,IN,18.4,1251,/nchs/state-stats/states/in.html
2021,IA,11.2,364,/nchs/state-stats/states/ia.html
2021,KS,17.3,503,/nchs/state-stats/states/ks.html
2021,KY,21.1,947,/nchs/state-stats/states/ky.html
2021,LA,29.1,1314,/nchs/state-stats/states/la.html
2021,ME,12.6,178,/nchs/state-stats/states/me.html
2021,MD,15.2,915,/nchs/state-stats/states/md.html
2021,MA,3.4,247,/nchs/state-stats/states/ma.html
2021,MI,15.4,1544,/nchs/state-stats/states/mi.html
2021,MN,10,573,/nchs/state-stats/states/mn.html
2021,MS,33.9,962,/nchs/state-stats/states/ms.html
2021,MO,23.2,1414,/nchs/state-stats/states/mo.html
2021,MT,25.1,280,/nchs/state-stats/states/mt.html
2021,NE,10.3,200,/nchs/state-stats/states/ne.html
2021,NV,19.8,633,/nchs/state-stats/states/nv.html
2021,NH,8.3,123,/nchs/state-stats/states/nh.html
2021,NJ,5.2,475,/nchs/state-stats/states/nj.html
